whole_proteome_IDs	whole_proteome_Uniprot	reference_proteome_Uniprot	interactor_IDs_databases	interactor_SPECIES_ID	X0469.IntAct.	X0471.MINT.	X0486.UniProt.	X1263.Molecular.Connections.	IMEx	missing_protein_evidence	BioGRID_from_Mentha
A0A0K3AQU9	1	1	0	0	0	0	0	0	0	0	0
A0A0K3AQV3	1	1	0	0	0	0	0	0	0	0	0
A0A0K3AQV8	1	1	0	0	0	0	0	0	0	0	0
A0A0K3AQW3	1	1	0	0	0	0	0	0	0	0	0
A0A0K3AQW8	1	1	0	0	0	0	0	0	0	0	0
A0A0K3AQX3	1	1	0	0	0	0	0	0	0	0	0
A0A0K3AQX8	1	1	0	0	0	0	0	0	0	0	0
A0A0K3AQY3	1	1	0	0	0	0	0	0	0	0	0
A0A0K3AQY8	1	1	0	0	0	0	0	0	0	0	0
A0A0K3AQZ1	1	1	0	0	0	0	0	0	0	0	0
A0A0K3AQZ6	1	1	0	0	0	0	0	0	0	1	0
A0A0K3AR01	1	1	0	0	0	0	0	0	0	1	0
A0A0K3AR06	1	1	0	0	0	0	0	0	0	1	0
A0A0K3AR10	1	1	0	0	0	0	0	0	0	0	0
A0A0K3AR16	1	1	0	0	0	0	0	0	0	0	0
A0A0K3AR19	1	1	0	0	0	0	0	0	0	1	0
A0A0K3AR23	1	1	0	0	0	0	0	0	0	1	0
A0A0K3AR25	1	1	0	0	0	0	0	0	0	1	0
A0A0K3AR28	1	1	0	0	0	0	0	0	0	0	0
A0A0K3AR30	1	1	0	0	0	0	0	0	0	1	0
A0A0K3AR32	1	1	0	0	0	0	0	0	0	1	0
A0A0K3AR37	1	1	0	0	0	0	0	0	0	0	0
A0A0K3AR42	1	1	0	0	0	0	0	0	0	0	0
A0A0K3AR48	1	1	0	0	0	0	0	0	0	1	0
A0A0K3AR51	1	1	0	0	0	0	0	0	0	0	0
A0A0K3AR55	1	1	0	0	0	0	0	0	0	1	0
A0A0K3AR57	1	1	0	0	0	0	0	0	0	1	0
A0A0K3AR60	1	1	0	0	0	0	0	0	0	1	0
A0A0K3AR63	1	1	0	0	0	0	0	0	0	0	0
A0A0K3AR66	1	1	0	0	0	0	0	0	0	1	0
A0A0K3AR68	1	1	0	0	0	0	0	0	0	1	0
A0A0K3AR72	1	1	0	0	0	0	0	0	0	0	0
A0A0K3AR76	1	1	0	0	0	0	0	0	0	1	0
A0A0K3AR77	1	1	0	0	0	0	0	0	0	0	0
A0A0K3AR81	1	1	0	0	0	0	0	0	0	0	0
A0A0K3AR82	1	1	0	0	0	0	0	0	0	1	0
A0A0K3AR87	1	1	0	0	0	0	0	0	0	0	0
A0A0K3AR90	1	1	0	0	0	0	0	0	0	0	0
A0A0K3AR92	1	1	0	0	0	0	0	0	0	1	0
A0A0K3AR95	1	1	0	0	0	0	0	0	0	0	0
A0A0K3AR97	1	1	0	0	0	0	0	0	0	1	0
A0A0K3ARA0	1	1	0	0	0	0	0	0	0	0	0
A0A0K3ARA3	1	1	0	0	0	0	0	0	0	1	0
A0A0K3ARA6	1	1	0	0	0	0	0	0	0	0	0
A0A0K3ARA8	1	1	0	0	0	0	0	0	0	0	0
A0A0K3ARB1	1	1	0	0	0	0	0	0	0	0	0
A0A0K3ARB4	1	1	0	0	0	0	0	0	0	0	0
A0A0K3ARB5	1	1	0	0	0	0	0	0	0	0	0
A0A0K3ARB9	1	1	0	0	0	0	0	0	0	0	0
A0A0K3ARC0	1	1	0	0	0	0	0	0	0	0	0
A0A0K3ARC4	1	1	0	0	0	0	0	0	0	1	0
A0A0K3ARC6	1	1	0	0	0	0	0	0	0	1	0
A0A0K3ARD0	1	1	0	0	0	0	0	0	0	1	0
A0A0K3ARD1	1	1	0	0	0	0	0	0	0	1	0
A0A0K3ARD5	1	1	0	0	0	0	0	0	0	0	0
A0A0K3ARD8	1	1	0	0	0	0	0	0	0	0	0
A0A0K3ARE1	1	1	0	0	0	0	0	0	0	0	0
A0A0K3ARE2	1	1	0	0	0	0	0	0	0	0	0
A0A0K3ARE6	1	1	0	0	0	0	0	0	0	0	0
A0A0K3ARE8	1	1	0	0	0	0	0	0	0	0	0
A0A0K3ARF0	1	1	0	0	0	0	0	0	0	1	0
A0A0K3ARF3	1	1	0	0	0	0	0	0	0	0	0
A0A0K3ARF6	1	1	0	0	0	0	0	0	0	1	0
A0A0K3ARF9	1	1	0	0	0	0	0	0	0	1	0
A0A0K3ARG1	1	1	0	0	0	0	0	0	0	0	0
A0A0K3ARG5	1	1	0	0	0	0	0	0	0	0	0
A0A0K3ARG6	1	1	0	0	0	0	0	0	0	0	0
A0A0K3ARH0	1	1	0	0	0	0	0	0	0	1	0
A0A0K3ARH1	1	1	0	0	0	0	0	0	0	1	0
A0A0K3ARH5	1	1	0	0	0	0	0	0	0	1	0
A0A0K3ARH7	1	1	0	0	0	0	0	0	0	0	0
A0A0K3ARI1	1	1	0	0	0	0	0	0	0	0	0
A0A0K3ARI2	1	1	0	0	0	0	0	0	0	0	0
A0A0K3ARI6	1	1	0	0	0	0	0	0	0	0	0
A0A0K3ARI7	1	1	0	0	0	0	0	0	0	1	0
A0A0K3ARJ1	1	1	0	0	0	0	0	0	0	0	0
A0A0K3ARJ4	1	1	0	0	0	0	0	0	0	1	0
A0A0K3ARJ6	1	1	0	0	0	0	0	0	0	1	0
A0A0K3ARJ9	1	1	0	0	0	0	0	0	0	0	0
A0A0K3ARK1	1	1	0	0	0	0	0	0	0	0	0
A0A0K3ARK4	1	1	0	0	0	0	0	0	0	1	0
A0A0K3ARK6	1	1	0	0	0	0	0	0	0	0	0
A0A0K3ARK9	1	1	0	0	0	0	0	0	0	0	0
A0A0K3ARL0	1	1	0	0	0	0	0	0	0	0	0
A0A0K3ARL4	1	1	0	0	0	0	0	0	0	0	0
