whole_proteome_IDs	whole_proteome_Uniprot	reference_proteome_Uniprot	interactor_IDs_databases	interactor_SPECIES_ID	X0469.IntAct.	X0471.MINT.	X0486.UniProt.	X0903.mpidb.	X1263.Molecular.Connections.	X1335.HPIDb.	IMEx	missing_protein_evidence	BioGRID_from_Mentha
A0A178U634	1	0	0	0	0	0	0	0	0	0	0	1	0
A0A178U635	1	0	0	0	0	0	0	0	0	0	0	1	0
A0A178U636	1	0	0	0	0	0	0	0	0	0	0	1	0
A0A178U639	1	0	0	0	0	0	0	0	0	0	0	1	0
A0A178U642	1	0	0	0	0	0	0	0	0	0	0	1	0
A0A178U643	1	0	0	0	0	0	0	0	0	0	0	1	0
A0A178U645	1	0	0	0	0	0	0	0	0	0	0	1	0
A0A178U646	1	0	0	0	0	0	0	0	0	0	0	1	0
A0A178U647	1	0	0	0	0	0	0	0	0	0	0	1	0
A0A178U648	1	0	0	0	0	0	0	0	0	0	0	1	0
A0A178U651	1	0	0	0	0	0	0	0	0	0	0	1	0
A0A178U653	1	0	0	0	0	0	0	0	0	0	0	1	0
A0A178U655	1	0	0	0	0	0	0	0	0	0	0	1	0
A0A178U656	1	0	0	0	0	0	0	0	0	0	0	1	0
A0A178U657	1	0	0	0	0	0	0	0	0	0	0	1	0
A0A178U658	1	0	0	0	0	0	0	0	0	0	0	1	0
A0A178U659	1	0	0	0	0	0	0	0	0	0	0	1	0
A0A178U661	1	0	0	0	0	0	0	0	0	0	0	1	0
A0A178U665	1	0	0	0	0	0	0	0	0	0	0	1	0
A0A178U666	1	0	0	0	0	0	0	0	0	0	0	1	0
A0A178U669	1	0	0	0	0	0	0	0	0	0	0	1	0
A0A178U670	1	0	0	0	0	0	0	0	0	0	0	1	0
A0A178U672	1	0	0	0	0	0	0	0	0	0	0	1	0
A0A178U675	1	0	0	0	0	0	0	0	0	0	0	1	0
A0A178U676	1	0	0	0	0	0	0	0	0	0	0	1	0
A0A178U677	1	0	0	0	0	0	0	0	0	0	0	1	0
A0A178U678	1	0	0	0	0	0	0	0	0	0	0	1	0
A0A178U679	1	0	0	0	0	0	0	0	0	0	0	1	0
A0A178U683	1	0	0	0	0	0	0	0	0	0	0	1	0
A0A178U685	1	0	0	0	0	0	0	0	0	0	0	1	0
